0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:18:21 +0530] "POST /frontend/validation HTTP/1.1" 200 4152
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:18:26 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5015
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:18:28 +0530] "GET /frontend/addtocart/Mob101 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:18:28 +0530] "GET /frontend/mycart HTTP/1.1" 200 5436
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:18:28 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:18:28 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:18:37 +0530] "GET /frontend/mycart HTTP/1.1" 200 5436
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:18:37 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:18:37 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:19:50 +0530] "GET /frontend/mycart HTTP/1.1" 200 5436
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:19:50 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:19:50 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:19:51 +0530] "GET /frontend/mycart HTTP/1.1" 200 5436
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:19:51 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:19:51 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:19:51 +0530] "GET /frontend/mycart HTTP/1.1" 200 5436
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:19:51 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:19:52 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:19:52 +0530] "GET /frontend/mycart HTTP/1.1" 200 5436
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:19:52 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:19:52 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:19:56 +0530] "GET /frontend/ HTTP/1.1" 200 4739
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:19:56 +0530] "GET /frontend/image/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:19:56 +0530] "GET /frontend/image/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:19:56 +0530] "GET /frontend/image/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:20:14 +0530] "GET /frontend/regis HTTP/1.1" 200 5993
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:20:18 +0530] "GET /frontend/regis HTTP/1.1" 200 5993
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:20:21 +0530] "GET /frontend/click HTTP/1.1" 200 4739
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:20:23 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5257
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:20:29 +0530] "GET /frontend/click HTTP/1.1" 200 4739
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:20:31 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5257
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:20:33 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5015
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:20:35 +0530] "GET /frontend/addtocart/Mob100 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:20:35 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5257
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:20:38 +0530] "GET /frontend/regis HTTP/1.1" 200 5993
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:20:40 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5015
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:20:42 +0530] "GET /frontend/click HTTP/1.1" 200 4739
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:20:44 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5257
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:30:18 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5257
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:33:08 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5257
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:33:18 +0530] "POST /frontend/validation HTTP/1.1" 200 4152
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:33:22 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5162
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:42:21 +0530] "GET /frontend/regis HTTP/1.1" 200 5991
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:42:27 +0530] "GET /frontend/click HTTP/1.1" 200 4737
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:42:29 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5255
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:42:36 +0530] "POST /frontend/validation HTTP/1.1" 200 3111
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:44:31 +0530] "POST /frontend/validation HTTP/1.1" 200 3258
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:44:36 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:44:43 +0530] "GET /frontend/addtocart/Mob101 HTTP/1.1" 302 -
